id,sex,age,temp,tank,hc_280,hc_350,ameb_d
376833,M,Y,30,1,21.6,70.4,1812500
375840,M,O,30,1,45.6,82.8,1655000
375813,M,O,30,1,69.5,67.2,1255000
376809,M,O,30,1,44.2,67.6,982500
375821,M,Y,30,2,20.3,36.4,2285000
375836,M,O,30,2,34.1,33.8,1450000
355305,M,Y,30,2,59,57.9,2340000
375802,M,O,20,3,21.1,44.9,2040000
375809,M,O,20,3,18.7,68.6,1505000
375820,M,Y,20,3,28.7,82.7,1480000
376627,M,Y,20,3,20.5,53.6,1820000
375847,M,O,20,4,3,15.1,1955000
355333,M,O,20,4,34.7,35.9,875000
355317,M,O,20,4,54.1,65.7,745000
355337,M,O,20,4,5,25.3,2895000
376638,F,Y,30,5,76.1,53.2,2825000
376608,F,O,30,5,32.2,34.9,2175000